en,fr,it,de,es,ko,kana
,,,,,,
"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.","While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow."
"The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.","The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.","The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.","The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.","The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.","The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.","The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms."
"As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance.","As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance.","As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance.","As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance.","As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance.","As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance.","As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance."
"If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet.","If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet.","If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet.","If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet.","If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet.","If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet.","If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet."
"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
"It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle.","It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle.","It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle.","It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle.","It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle.","It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle.","It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle."
"When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.","When it feels threatened, it draws its legs inside its shell and sprays water from its mouth."
"Its long, furry tail is a symbol of longevity, making it quite popular among older people.","Its long, furry tail is a symbol of longevity, making it quite popular among older people.","Its long, furry tail is a symbol of longevity, making it quite popular among older people.","Its long, furry tail is a symbol of longevity, making it quite popular among older people.","Its long, furry tail is a symbol of longevity, making it quite popular among older people.","Its long, furry tail is a symbol of longevity, making it quite popular among older people.","Its long, furry tail is a symbol of longevity, making it quite popular among older people."
"It firmly plants its feet on the ground before shooting water from the jets on its back.","It firmly plants its feet on the ground before shooting water from the jets on its back.","It firmly plants its feet on the ground before shooting water from the jets on its back.","It firmly plants its feet on the ground before shooting water from the jets on its back.","It firmly plants its feet on the ground before shooting water from the jets on its back.","It firmly plants its feet on the ground before shooting water from the jets on its back.","It firmly plants its feet on the ground before shooting water from the jets on its back."
"It crawls into foliage where it camouflages itself among leaves that are the same color as its body.","It crawls into foliage where it camouflages itself among leaves that are the same color as its body.","It crawls into foliage where it camouflages itself among leaves that are the same color as its body.","It crawls into foliage where it camouflages itself among leaves that are the same color as its body.","It crawls into foliage where it camouflages itself among leaves that are the same color as its body.","It crawls into foliage where it camouflages itself among leaves that are the same color as its body.","It crawls into foliage where it camouflages itself among leaves that are the same color as its body."
"This is its pre- evolved form. At this stage, it can only harden, so it remains motionless to avoid attack.","This is its pre- evolved form. At this stage, it can only harden, so it remains motionless to avoid attack.","This is its pre- evolved form. At this stage, it can only harden, so it remains motionless to avoid attack.","This is its pre- evolved form. At this stage, it can only harden, so it remains motionless to avoid attack.","This is its pre- evolved form. At this stage, it can only harden, so it remains motionless to avoid attack.","This is its pre- evolved form. At this stage, it can only harden, so it remains motionless to avoid attack.","This is its pre- evolved form. At this stage, it can only harden, so it remains motionless to avoid attack."
"It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom.","It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom.","It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom.","It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom.","It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom.","It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom.","It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom."
"The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.","The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.","The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.","The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.","The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.","The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.","The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself."
"Nearly incapable of movement, it leans against stout trees while waiting for its evolution.","Nearly incapable of movement, it leans against stout trees while waiting for its evolution.","Nearly incapable of movement, it leans against stout trees while waiting for its evolution.","Nearly incapable of movement, it leans against stout trees while waiting for its evolution.","Nearly incapable of movement, it leans against stout trees while waiting for its evolution.","Nearly incapable of movement, it leans against stout trees while waiting for its evolution.","Nearly incapable of movement, it leans against stout trees while waiting for its evolution."
