en,fr,it,de,es,ko,kana
,,,,,,
"For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back.","For some time after its birth, it grows by gaining nourishment from the seed on its back."
"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
"In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.","In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.","In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.","In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.","In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.","In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.","In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars."
"It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.","It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles."
"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity.","It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
"The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.","The jets of water it spouts from the rocket cannons on its shell can punch through thick steel."
