en,fr,it,de,es,ko,kana
,-,-,-,-,-,-
"The foe is physically pounded with a long tail or a foreleg, etc.","The foe is physically pounded with a long tail or a foreleg, etc.","The foe is physically pounded with a long tail or a foreleg, etc.","The foe is physically pounded with a long tail or a foreleg, etc.","The foe is physically pounded with a long tail or a foreleg, etc.","The foe is physically pounded with a long tail or a foreleg, etc.","The foe is physically pounded with a long tail or a foreleg, etc."
"The foe is attacked with a sharp chop. It has a high critical-hit ratio.","The foe is attacked with a sharp chop. It has a high critical-hit ratio.","The foe is attacked with a sharp chop. It has a high critical-hit ratio.","The foe is attacked with a sharp chop. It has a high critical-hit ratio.","The foe is attacked with a sharp chop. It has a high critical-hit ratio.","The foe is attacked with a sharp chop. It has a high critical-hit ratio.","The foe is attacked with a sharp chop. It has a high critical-hit ratio."
"The foe is slapped repeatedly, back and forth, two to five times in a row.","The foe is slapped repeatedly, back and forth, two to five times in a row.","The foe is slapped repeatedly, back and forth, two to five times in a row.","The foe is slapped repeatedly, back and forth, two to five times in a row.","The foe is slapped repeatedly, back and forth, two to five times in a row.","The foe is slapped repeatedly, back and forth, two to five times in a row.","The foe is slapped repeatedly, back and forth, two to five times in a row."
"The foe is hit with a flurry of punches that strike two to five times in a row.","The foe is hit with a flurry of punches that strike two to five times in a row.","The foe is hit with a flurry of punches that strike two to five times in a row.","The foe is hit with a flurry of punches that strike two to five times in a row.","The foe is hit with a flurry of punches that strike two to five times in a row.","The foe is hit with a flurry of punches that strike two to five times in a row.","The foe is hit with a flurry of punches that strike two to five times in a row."
"The foe is slugged by a punch thrown with muscle-packed power.","The foe is slugged by a punch thrown with muscle-packed power.","The foe is slugged by a punch thrown with muscle-packed power.","The foe is slugged by a punch thrown with muscle-packed power.","The foe is slugged by a punch thrown with muscle-packed power.","The foe is slugged by a punch thrown with muscle-packed power.","The foe is slugged by a punch thrown with muscle-packed power."
"Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.","Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.","Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.","Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.","Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.","Numerous coins are hurled at the foe to inflict damage. Money is earned after battle.","Numerous coins are hurled at the foe to inflict damage. Money is earned after battle."
"The foe is punched with a fiery fist. It may leave the target with a burn.","The foe is punched with a fiery fist. It may leave the target with a burn.","The foe is punched with a fiery fist. It may leave the target with a burn.","The foe is punched with a fiery fist. It may leave the target with a burn.","The foe is punched with a fiery fist. It may leave the target with a burn.","The foe is punched with a fiery fist. It may leave the target with a burn.","The foe is punched with a fiery fist. It may leave the target with a burn."
"The foe is punched with an icy fist. It may leave the target frozen.","The foe is punched with an icy fist. It may leave the target frozen.","The foe is punched with an icy fist. It may leave the target frozen.","The foe is punched with an icy fist. It may leave the target frozen.","The foe is punched with an icy fist. It may leave the target frozen.","The foe is punched with an icy fist. It may leave the target frozen.","The foe is punched with an icy fist. It may leave the target frozen."
"The foe is punched with an electrified fist. It may leave the target with paralysis.","The foe is punched with an electrified fist. It may leave the target with paralysis.","The foe is punched with an electrified fist. It may leave the target with paralysis.","The foe is punched with an electrified fist. It may leave the target with paralysis.","The foe is punched with an electrified fist. It may leave the target with paralysis.","The foe is punched with an electrified fist. It may leave the target with paralysis.","The foe is punched with an electrified fist. It may leave the target with paralysis."
