en,fr,it,de,es,ko,kana
???,???,???,???,(?),???,？？？
"The best Poké Ball with the ultimate level of performance. With it, you will catch any wild Pokémon without fail.",Assurément la Poké Ball la plus performante. Elle permet de capturer à coup sûr un Pokémon sauvage.,La Poké Ball dalle prestazioni migliori: cattura qualsiasi Pokémon selvatico senza mai fallire.,Der beste Ball! Damit fängst du garantiert jedes wilde Pokémon.,La Poké Ball definitiva. Atrapa cualquier Pokémon salvaje y no falla nunca.,야생 포켓몬을 반드시 잡을 수 있는 최고 성능의 볼.,やせいの　ポケモンを　かならず つかまえることが　できる さいこう　せいのうの　ボール。
An ultra-high-performance Poké Ball that provides a higher success rate for catching Pokémon than a Great Ball.,Une Poké Ball très performante dont le taux de réussite est supérieur à celui de la Super Ball.,Poké Ball dalle prestazioni eccellenti: fornisce maggiori probabilità di cattura rispetto alla Mega Ball.,Ein Ball mit hoher Erfolgsquote. Dem Superball in allen Punkten überlegen.,Poké Ball de rendimiento superior. Tiene un índice de éxito mayor al de la Super Ball.,수퍼볼보다도 더욱 포켓몬을 잡기 쉬워진 매우 성능이 좋은 볼.,スーパーボールよりも　さらに ポケモンを　つかまえやすくなった すごく　せいのうのいい　ボール。
"A good, high-performance Poké Ball that provides a higher success rate for catching Pokémon than a standard Poké Ball.",Une Poké Ball très performante dont le taux de réussite est supérieur à celui de la Poké Ball.,Poké Ball dalle ottime prestazioni: fornisce maggiori probabilità di cattura rispetto alla normale Poké Ball.,Ein Ball mit guter Erfolgsquote. Dem Pokéball in allen Punkten überlegen.,Poké Ball de alto rendimiento. Tiene un índice de éxito superior al de la Poké Ball.,몬스터볼보다도 더욱 포켓몬을 잡기 쉬워진 약간 성능이 좋은 볼.,モンスターボールよりも　さらに ポケモンを　つかまえやすくなった すこし　せいのうのいい　ボール。
"A device for catching wild Pokémon. It’s thrown like a ball at a Pokémon, comfortably encapsulating its target.","Un objet semblable à une capsule, qui capture les Pokémon sauvages. Il suffit pour cela de le lancer comme une balle.",Strumento dotato di capsula usato per catturare Pokémon selvatici. Si lancia contro il bersaglio come una palla.,Damit fängst du wilde Pokémon. Du wirfst ihn wie einen normalen Ball. Das Design ähnelt dem einer Kapsel.,Dispositivo con diseño capsular que atrapa Pokémon salvajes. Se lanza como una bola contra el blanco.,야생 포켓몬에게 던져서 잡기 위한 볼. 캡슐식으로 되어 있다.,やせいの　ポケモンに　なげて つかまえる　ための　ボール。 カプセルしきに　なっている。
A special Poké Ball that was used in the Safari Zone in the Kanto region and in the Great Marsh in the Sinnoh region.,Une Poké Ball spéciale anciennement utilisée au Parc Safari de Kanto et au Grand Marais de Sinnoh.,Poké Ball speciale usata in passato nella Zona Safari di Kanto e nella Gran Palude di Sinnoh.,"Ein besonderer Ball, der in der Safari-Zone der Kanto-Region und im Großmoor der Sinnoh-Region eingesetzt wird.",Poké Ball especial que se utilizaba en lugares como la Zona Safari de Kanto y el Gran Pantano de Sinnoh.,관동지방의 사파리존과 신오지방의 대습초원에서 사용되었던 특별한 볼.,カントーちほうの　サファリゾーンや シンオウちほうの　だいしつげんで つかわれていた　とくべつな　ボール。
A somewhat different Poké Ball that is more effective when attempting to catch Water- or Bug-type Pokémon.,Une Poké Ball un peu spéciale qui fonctionne particulièrement bien sur les Pokémon Eau ou Insecte.,Poké Ball un po’ diversa. Risulta particolarmente efficace sui Pokémon di tipo Acqua e Coleottero.,"Ein Ball, der sich besonders gut eignet, um Wasser- und Käfer-Pokémon zu fangen.",Es algo distinta a las demás. Funciona especialmente bien con los Pokémon de tipo Agua y Bicho.,물타입과 벌레타입의 포켓몬을 잡기 쉬운 조금 특이한 볼.,みずタイプと　むしタイプの ポケモンが　つかまえやすくなる ちょっと　かわった　ボール。
A somewhat different Poké Ball that works especially well when catching Pokémon that live underwater.,Une Poké Ball un peu spéciale qui fonctionne particulièrement bien sur les Pokémon sous-marins.,Poké Ball un po’ diversa. Risulta particolarmente efficace sui Pokémon che vivono in acqua.,"Ein Ball, mit dem sich Pokémon, die im Wasser leben, besser fangen lassen.",Es algo distinta a las demás. Funciona especialmente bien con los Pokémon que viven bajo el agua.,물의 세계에서 사는 포켓몬을 잡기 쉬운 조금 특이한 볼.,みずの　せかいで　くらしている ポケモンが　つかまえやすくなる ちょっと　かわった　ボール。
A somewhat different Poké Ball that becomes more effective the lower the level of the wild Pokémon.,Une Poké Ball un peu spéciale qui fonctionne particulièrement bien sur les Pokémon les plus faibles.,Poké Ball un po’ diversa. Risulta particolarmente efficace sui Pokémon selvatici più deboli.,"Ein Ball, dessen Erfolgsquote besonders bei Pokémon mit niedrigem Level sehr hoch ist.",Es algo distinta a las demás. Funciona especialmente bien con los Pokémon salvajes de nivel bajo.,잡으려는 야생 포켓몬이 약할수록 잡기 쉬운 조금 특이한 볼.,つかまえる　やせいの　ポケモンが よわいほど　つかまえやすくなる ちょっと　かわった　ボール。
A somewhat different Poké Ball that works especially well on a Pokémon species that has been caught before.,Une Poké Ball un peu spéciale qui fonctionne particulièrement bien sur les espèces de Pokémon déjà capturées.,Poké Ball un po’ diversa. Risulta particolarmente efficace sulle specie di Pokémon già catturate in precedenza.,"Ein Ball, der sich besonders dann sehr gut eignet, wenn man ein Pokémon fangen will, dessen Art bereits gefangen wurde.",Es algo distinta a las demás. Funciona especialmente bien con las especies de Pokémon ya capturadas.,잡은 적이 있는 포켓몬을 잡기 쉬운 조금 특이한 볼.,つかまえたことの　ある ポケモンが　つかまえやすくなる ちょっと　かわった　ボール。
