en,fr,it,de,es,ko,kana
[~0],[~0],[~0],[~0],[~0],[~0],[~0]
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.","It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state."
"When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge."
"When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge.","When alone, nothing happens. However, if there are two or more, an odd power is said to emerge."
