en,fr,it,de,es,ko,kana
[~0],[~0],[~0],[~0],[~0],[~0],[~0]
"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.","Ses pétales lui servent à capter la lumière du soleil. Il peut ainsi en canaliser l’énergie.","Si riempie di energia grazie ai grandi petali del fiore, che spalanca catturando i raggi solari.","Es spreizt die breiten Blätter seiner Blüte, um seinen Körper mit Sonnenenergie zu durchfluten.","Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor.","큰 꽃잎을 펼쳐 햇빛을 받고 있으면 몸에 힘이 넘쳐흐른다.","おおきな　はなびらを　ひろげ たいようの　ひかりを　あびていると からだに　げんきが　みなぎっていく。"
"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.","Quand il crache son souffle brûlant, la flamme au bout de sa queue s’embrase.","Quando emette le sue lingue di fuoco, la fiamma rossa sulla punta della coda brucia più intensamente.","Wenn dieses Pokémon einen Strahl glühenden Feuers speit, leuchtet seine Schwanzspitze auf.","Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente.","입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.","くちから　しゃくねつの　ほのおを はきだすとき　しっぽの　さきは より　あかく　はげしく　もえあがる。"
"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.","Quand il crache son souffle brûlant, la flamme au bout de sa queue s’embrase.","Quando emette le sue lingue di fuoco, la fiamma rossa sulla punta della coda brucia più intensamente.","Wenn dieses Pokémon einen Strahl glühenden Feuers speit, leuchtet seine Schwanzspitze auf.","Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente.","입에서 작렬하는 불꽃을 토해낼 때 꼬리의 끝이 더욱 붉고 격렬하게 타오른다.","くちから　しゃくねつの　ほのおを はきだすとき　しっぽの　さきは より　あかく　はげしく　もえあがる。"
"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.","Il écrase ses adversaires de tout son poids pour leur faire perdre connaissance. Il rentre dans sa carapace s’il se sent en danger.","Mette KO gli avversari schiacciandoli sotto il corpo possente. Se è in difficoltà, può ritrarsi nella corazza.","Es begräbt seine Gegner mit seinem enormen Körpergewicht. Wenn es in einer aussichtslosen Lage steckt, zieht es sich in seinen Panzer zurück.","Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón.","무거운 몸으로 상대를 덮쳐서 기절시킨다. 위기에 처하면 등껍질에 숨는다.","からだが　おもたく　のしかかって あいてを　きぜつさせる。 ピンチの　ときは　カラに　かくれる。"
"It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.","Il élève sa queue pour surveiller les environs. Elle attire souvent la foudre dans cette position.","Solleva la coda per esaminare l’ambiente circostante. A volte la coda è colpita da un fulmine quando è in questa posizione.","Es streckt seinen Schweif nach oben, um seine Umgebung zu prüfen. Häufig fährt ein Blitz hinein.","Levanta su cola para vigilar los alrededores. A veces, puede ser alcanzado por un rayo en esa pose.","꼬리를 세우고 주변의 상황을 살피다 보면 가끔 꼬리에 번개가 친다.","しっぽを　たてて　まわりの ようすを　さぐっていると　ときどき かみなりが　しっぽに　おちてくる。"
"It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.","Il élève sa queue pour surveiller les environs. Elle attire souvent la foudre dans cette position.","Solleva la coda per esaminare l’ambiente circostante. A volte la coda è colpita da un fulmine quando è in questa posizione.","Es streckt seinen Schweif nach oben, um seine Umgebung zu prüfen. Häufig fährt ein Blitz hinein.","Levanta su cola para vigilar los alrededores. A veces, puede ser alcanzado por un rayo en esa pose.","꼬리를 세우고 주변의 상황을 살피다 보면 가끔 꼬리에 번개가 친다.","しっぽを　たてて　まわりの ようすを　さぐっていると　ときどき かみなりが　しっぽに　おちてくる。"
"It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.","Il élève sa queue pour surveiller les environs. Elle attire souvent la foudre dans cette position.","Solleva la coda per esaminare l’ambiente circostante. A volte la coda è colpita da un fulmine quando è in questa posizione.","Es streckt seinen Schweif nach oben, um seine Umgebung zu prüfen. Häufig fährt ein Blitz hinein.","Levanta su cola para vigilar los alrededores. A veces, puede ser alcanzado por un rayo en esa pose.","꼬리를 세우고 주변의 상황을 살피다 보면 가끔 꼬리에 번개가 친다.","しっぽを　たてて　まわりの ようすを　さぐっていると　ときどき かみなりが　しっぽに　おちてくる。"
"It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.","Il élève sa queue pour surveiller les environs. Elle attire souvent la foudre dans cette position.","Solleva la coda per esaminare l’ambiente circostante. A volte la coda è colpita da un fulmine quando è in questa posizione.","Es streckt seinen Schweif nach oben, um seine Umgebung zu prüfen. Häufig fährt ein Blitz hinein.","Levanta su cola para vigilar los alrededores. A veces, puede ser alcanzado por un rayo en esa pose.","꼬리를 세우고 주변의 상황을 살피다 보면 가끔 꼬리에 번개가 친다.","しっぽを　たてて　まわりの ようすを　さぐっていると　ときどき かみなりが　しっぽに　おちてくる。"
"It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.","Il élève sa queue pour surveiller les environs. Elle attire souvent la foudre dans cette position.","Solleva la coda per esaminare l’ambiente circostante. A volte la coda è colpita da un fulmine quando è in questa posizione.","Es streckt seinen Schweif nach oben, um seine Umgebung zu prüfen. Häufig fährt ein Blitz hinein.","Levanta su cola para vigilar los alrededores. A veces, puede ser alcanzado por un rayo en esa pose.","꼬리를 세우고 주변의 상황을 살피다 보면 가끔 꼬리에 번개가 친다.","しっぽを　たてて　まわりの ようすを　さぐっていると　ときどき かみなりが　しっぽに　おちてくる。"
